Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
38,-0.06763151288032532,1.5571069717407227,77.91671752929688,-0.25433825375372987,-0.46215892619955107,-86.63745347667516,-0.05156601,6.1059055,-1.3648677,9.9234,-8.822814,-6.118807,4.5531206,-4.921248,-6.755903,7.0533404,-12.129441,6.940632,-2.5863361,1.3662459,5.947249,-2.9031525,12.012324,-41.85189,66.36511,0.39649335,-0.044896565,4.8485107,3.9657633,-9.100784,22.77191,61.316017,-9.670123,0.002905785,-8.003763
39,-0.07095032930374146,1.5497616529464722,77.9143295288086,-0.2575025784997474,-0.47332814587726035,-86.62452270031433,-0.042377662,6.108938,-1.3682411,9.940309,-8.837395,-6.111692,4.5692487,-4.9192986,-6.7627716,7.0604687,-12.142341,6.946532,-2.59064,1.3648762,5.9442725,-2.9130206,12.016325,-41.897858,66.37539,0.33216065,-0.052416567,4.828774,3.9726853,-9.109551,22.807955,61.322624,-9.317508,-0.12583365,-7.93449
40,-0.07904711365699768,1.5338466167449951,77.91581726074219,-0.25597811114996294,-0.4757579425700887,-86.62136813904809,-0.034292288,6.109115,-1.3704566,9.94104,-8.845341,-6.1105723,4.5783596,-4.920174,-6.766373,7.060297,-12.15172,6.9500794,-2.5953498,1.3621536,5.939,-2.9163556,12.017633,-41.908703,66.38101,0.33256894,-0.06022734,4.818602,3.9728727,-9.112258,22.81339,61.325546,-9.151382,-0.1869686,-7.8908086
41,-0.07287336885929108,1.5209693908691406,77.90859985351562,-0.2479120956474067,-0.4615907513905213,-86.634905646925,-0.033123698,6.1034384,-1.3711746,9.922326,-8.847411,-6.118549,4.5679502,-4.9278603,-6.7638516,7.0610814,-12.163629,6.9508986,-2.5944755,1.355989,5.912453,-2.9056864,12.01894,-41.91263,66.38616,0.41106504,-0.07081499,4.834078,3.977426,-9.115339,22.804207,61.31827,-9.234219,-0.14197975,-7.893231
42,-0.07043062895536423,1.5187550783157349,77.91033935546875,-0.23625655612115282,-0.4363701892906694,-86.66033161840814,-0.03998715,6.09358,-1.3704174,9.89813,-8.849832,-6.131593,4.5452323,-4.94028,-6.756774,7.0604944,-12.176129,6.9506903,-2.5846972,1.3492452,5.8753977,-2.8824959,12.0197315,-41.900482,66.38203,0.5583295,-0.08155168,4.862673,3.994829,-9.117603,22.758663,61.291,-9.491898,-0.031833112,-7.917332
43,-0.06895074248313904,1.5088118314743042,77.9134292602539,-0.22456207112803275,-0.4136087275959575,-86.68515266057597,-0.044996757,6.0849557,-1.3700932,9.874243,-8.851216,-6.1456375,4.5242505,-4.9507923,-6.750211,7.0615377,-12.188501,6.948965,-2.5746732,1.342744,5.844871,-2.8641362,12.019461,-41.884438,66.37915,0.6889649,-0.091561586,4.8880982,4.0045323,-9.117847,22.711992,61.269917,-9.770539,0.082900405,-7.9470253
44,-0.06910528987646103,1.5176020860671997,77.91202545166016,-0.22015857786823767,-0.4061112986462644,-86.69775137924546,-0.038761314,6.082805,-1.3711687,9.856044,-8.849613,-6.1565576,4.519454,-4.9528995,-6.748632,7.062723,-12.1963215,6.9451966,-2.5553377,1.3414088,5.841626,-2.8655496,12.018206,-41.8734,66.37405,0.7399526,-0.09812738,4.889651,4.0087996,-9.116801,22.64945,61.255177,-9.957965,0.14331254,-7.956669
45,-0.077461838722229,1.5082790851593018,77.90618896484375,-0.22720318181951363,-0.42230364687239025,-86.69193768680674,-0.025002638,6.0923586,-1.3769307,9.868187,-8.855342,-6.1644917,4.5409765,-4.939446,-6.7559156,7.0626087,-12.196924,6.935898,-2.5478878,1.3445114,5.862267,-2.8808405,12.016886,-41.885223,66.37413,0.62295306,-0.10215431,4.8659077,4.0008583,-9.115888,22.644289,61.26471,-9.951015,0.123443805,-7.9543166
46,-0.07870584726333618,1.5040357112884521,77.90587615966797,-0.24164938800350308,-0.4531724151171251,-86.67499583503802,-0.0011749082,6.1087856,-1.3849187,9.886894,-8.858362,-6.171133,4.5784054,-4.916565,-6.7685537,7.062665,-12.19335,6.922594,-2.548447,1.3516878,5.901272,-2.8981123,12.016659,-41.89239,66.36729,0.4155104,-0.103776895,4.822987,3.9892423,-9.115941,22.65749,61.282032,-9.855076,0.058782734,-7.9429555
47,-0.08478961139917374,1.5062414407730103,77.90338134765625,-0.25686203261930385,-0.486447993861945,-86.65482828725013,0.02397921,6.1255426,-1.3922551,9.907262,-8.861312,-6.1752024,4.618695,-4.893369,-6.781436,7.0624595,-12.188904,6.911618,-2.5643244,1.3570956,5.9365377,-2.9161468,12.016552,-41.913322,66.36743,0.17274757,-0.10243589,4.782344,3.9627492,-9.117692,22.725077,61.31846,-9.700087,-0.012792276,-7.9402704
